Designator,Mid X,Mid Y,Rotation,Layer
B1,239.125,-84.1087,90.0,top
B2,239.125,-84.1087,90.0,top
D1,127.39055,-111.8687,0.0,top
D10,184.39055,-109.9637,0.0,top
D11,184.39055,-90.9637,0.0,top
D12,184.39055,-71.9637,0.0,top
D13,203.39055,-111.8687,0.0,top
D14,203.39055,-92.8687,0.0,top
D15,203.39055,-73.8687,0.0,top
D16,165.29055,-129.0137,0.0,top
D17,184.29055,-129.0137,0.0,top
D18,203.29055,-130.9187,0.0,top
D19,233.098869,-121.829731,57.0,top
D2,127.39055,-92.8687,0.0,top
D3,127.39055,-73.8687,0.0,top
D4,146.39055,-109.9637,0.0,top
D5,146.39055,-90.9637,0.0,top
D6,146.39055,-71.9637,0.0,top
D7,165.39055,-108.0587,0.0,top
D8,165.39055,-89.0587,0.0,top
D9,165.39055,-70.0587,0.0,top
MCU1,224.3138,-77.1237,270.0,top
OLED1,225.7813,-96.6387,270.0,top
S1,127.3588,-104.75415,0.0,top
S10,184.3588,-102.84915,0.0,top
S11,184.3588,-83.84915,0.0,top
S12,184.3588,-64.84915,0.0,top
S13,203.3588,-104.75415,0.0,top
S14,203.3588,-85.75415,0.0,top
S15,203.3588,-66.75415,0.0,top
S16,165.2588,-121.89915,0.0,top
S17,184.2588,-121.89915,0.0,top
S18,203.2588,-123.80415,0.0,top
S19,227.459518,-118.503578,57.0,top
S2,127.3588,-85.75415,0.0,top
S3,127.3588,-66.75415,0.0,top
S4,146.3588,-102.84915,0.0,top
S5,146.3588,-83.84915,0.0,top
S6,146.3588,-64.84915,0.0,top
S7,165.3588,-100.94415,0.0,top
S8,165.3588,-81.94415,0.0,top
S9,165.3588,-62.94415,0.0,top
TRRS1,239.5063,-67.3237,0.0,top
_1,136.8838,-114.4887,0.0,top
_2,136.8838,-76.4887,0.0,top
_3,193.8838,-76.4887,0.0,top
_4,212.8838,-114.4887,0.0,top
_5,235.0,-102.0,0.0,top
